"hitl_seq_no","timestamp","source_document","keyword_anchor","context_snippet","llm_advisor_judgment","suggested_options_provided","user_provided_file","user_provided_page","action_status"
"1","2026-05-27 13:07:23","2.2-introduction.pdf","Section 3.2.S.1","...neral information, nomenclature, and physicochemical properties are provided in Section 3.2.S.1 of Module 3.  Refer to Section 3.2.S.1 (Module 3) for the complete nomenclature...","[Search] No alternative sections found in index.","[]","","0","SKIPPED"
"1","2026-05-28 12:11:54","2.2-introduction.pdf","Sections 5.3.3","...Clinical study reports supporting efficacy and safety are provided in Module 5 (Sections 5.3.3 and 5.3.4).   <table> <caption>Table 2.2-1 above summarizes key milestones. Ful...","RECOMMENDATION: Option 2  
REASON: The snippet explicitly references Module 5 clinical study reports (Sections 5.3.3 and 5.3.4), which aligns with the Module 5 Clinical Study Reports listing.","[{'option_number': 1, 'option_label': 'Option [1]', 'suggested_target_file': '2.2-introduction.pdf', 'suggested_target_page': 3, 'semantic_title_context': '2.2.4 Overview of Clinical Development Program'}, {'option_number': 2, 'option_label': 'Option [2]', 'suggested_target_file': '5.2-tabular-listing.pdf', 'suggested_target_page': 3, 'semantic_title_context': 'Nexivarin 10 mg Tablets - eCTD Submission Module 5 - Clinical Study Reports'}, {'option_number': 3, 'option_label': 'Option [3]', 'suggested_target_file': '2.2-introduction.pdf', 'suggested_target_page': 3, 'semantic_title_context': '2.2.2 Drug Development History'}]","5.2-tabular-listing.pdf","3","ROUTED"
"2","2026-05-28 12:13:03","2.2-introduction.pdf","Sections 5.3.1","...Module 4 (Sections 4.2.1-4.2.3). Clinical study reports are filed in Module 5, Sections 5.3.1 through 5.3.4.</caption> <tr> <th>Year</th> <th>Activity</th> <th>Key Outcome</...","RECOMMENDATION: Option 2  
REASON: The snippet is a captioned table with columns like Year/Activity/Key Outcome, matching the Module 5.2 tabular listing of clinical studies rather than a specific clinical study report section.","[{'option_number': 1, 'option_label': 'Option [1]', 'suggested_target_file': '5.2-tabular-listing.pdf', 'suggested_target_page': 3, 'semantic_title_context': 'Nexivarin 10 mg Tablets - eCTD Submission Module 5 - Clinical Study Reports'}, {'option_number': 2, 'option_label': 'Option [2]', 'suggested_target_file': '5.2-tabular-listing.pdf', 'suggested_target_page': 3, 'semantic_title_context': 'Section 5.2 Tabular Listing of Clinical Studies'}, {'option_number': 3, 'option_label': 'Option [3]', 'suggested_target_file': '5.3.4-integrated-safety.pdf', 'suggested_target_page': 3, 'semantic_title_context': 'Nexivarin 10 mg Tablets - eCTD Submission Module 5 - Clinical Study Reports'}]","5.2-tabular-listing.pdf","3","ROUTED"
"3","2026-05-28 12:17:39","2.2-introduction.pdf","Section 5.3.1","...</td> <td>Phase I PK studies</td> <td>Bioavailability 78%; t1/2 38 hr (refer to Section 5.3.1)</td> </tr> <tr> <td>2017</td> <td>Phase II dose-ranging (NXV-201)</td> <td>10...","RECOMMENDATION: NONE  
REASON: The snippet cites “Section 5.3.1” for Phase I PK parameters, but none of the provided targets correspond to Section 5.3.1 or a Phase I PK section.","[{'option_number': 1, 'option_label': 'Option [1]', 'suggested_target_file': '2.5-clinical-overview.pdf', 'suggested_target_page': 3, 'semantic_title_context': '2.5.3 Overview of Clinical Pharmacology'}, {'option_number': 2, 'option_label': 'Option [2]', 'suggested_target_file': '2.4-nonclinical-overview.pdf', 'suggested_target_page': 4, 'semantic_title_context': '2.4.3 Pharmacokinetics'}, {'option_number': 3, 'option_label': 'Option [3]', 'suggested_target_file': '5.3.4-integrated-safety.pdf', 'suggested_target_page': 3, 'semantic_title_context': '5.3.4.2 Exposure Duration'}]","","0","SKIPPED"
"4","2026-05-28 12:18:31","2.2-introduction.pdf","Section 5.3.3.1","...<td>Phase II dose-ranging (NXV-201)</td> <td>10 mg optimal dose identified (see Section 5.3.3.1)</td> </tr> <tr> <td>2018-2020</td> <td>Phase III pivotal studies (NXV-301, NXV...","RECOMMENDATION: NONE  
REASON: The snippet’s broken reference points specifically to “Section 5.3.3.1” (Phase II dose-ranging), which is not among the provided target options.","[{'option_number': 1, 'option_label': 'Option [1]', 'suggested_target_file': '5.3.4.2-phase3-study1.pdf', 'suggested_target_page': 3, 'semantic_title_context': 'Section 5.3.4.2 Phase III Pivotal Study NXV-301'}, {'option_number': 2, 'option_label': 'Option [2]', 'suggested_target_file': '5.2-tabular-listing.pdf', 'suggested_target_page': 3, 'semantic_title_context': '5.2 Tabular Listing of All Clinical Studies'}, {'option_number': 3, 'option_label': 'Option [3]', 'suggested_target_file': '2.2-introduction.pdf', 'suggested_target_page': 3, 'semantic_title_context': '2.2.4 Overview of Clinical Development Program'}]","5.3.4.2-phase3-study1.pdf","3","ROUTED"
"5","2026-05-28 12:19:33","2.2-introduction.pdf","Sections 5.3.3.2","...l studies (NXV-301, NXV-</td> <td>3(2gnificant BP reduction; NI margin met (see Sections 5.3.3.2, 5.3.3.3)</td> </tr> <tr> <td>2020</td> <td>End-of-Phase 3 meeting with FDA</td...","RECOMMENDATION: Option 2  
REASON: The snippet is a timeline item (“2020 End-of-Phase 3 meeting with FDA”) consistent with Drug Development History rather than a specific Phase III study section or its synopsis.","[{'option_number': 1, 'option_label': 'Option [1]', 'suggested_target_file': '5.3.4.2-phase3-study1.pdf', 'suggested_target_page': 3, 'semantic_title_context': 'Section 5.3.4.2 Phase III Pivotal Study NXV-301'}, {'option_number': 2, 'option_label': 'Option [2]', 'suggested_target_file': '2.2-introduction.pdf', 'suggested_target_page': 3, 'semantic_title_context': '2.2.2 Drug Development History'}, {'option_number': 3, 'option_label': 'Option [3]', 'suggested_target_file': '5.3.4.2-phase3-study1.pdf', 'suggested_target_page': 3, 'semantic_title_context': 'Synopsis'}]","2.2-introduction.pdf","3","ROUTED"
"6","2026-05-28 12:20:36","2.2-introduction.pdf","Section 2.7.2","...V-BA-01) is provided in Section 5.3.1. Population PK analyses are summarized in Section 2.7.2 (Clinical Pharmacology Summary).  As described in Section 5.3.1, absolute bioav...","RECOMMENDATION: NONE  
REASON: The snippet cites Sections 5.3.1 and 2.7.2, and none of the provided targets correspond to those sections or the referenced Population PK/absolute bioavailability content.","[{'option_number': 1, 'option_label': 'Option [1]', 'suggested_target_file': '2.5-clinical-overview.pdf', 'suggested_target_page': 3, 'semantic_title_context': '2.5.3 Overview of Clinical Pharmacology'}, {'option_number': 2, 'option_label': 'Option [2]', 'suggested_target_file': '2.4-nonclinical-overview.pdf', 'suggested_target_page': 4, 'semantic_title_context': '2.4.3 Pharmacokinetics'}, {'option_number': 3, 'option_label': 'Option [3]', 'suggested_target_file': '2.5-clinical-overview.pdf', 'suggested_target_page': 3, 'semantic_title_context': '2.5.2 Overview of Biopharmaceutics'}]","","0","SKIPPED"
"7","2026-05-28 12:21:09","2.2-introduction.pdf","Section 2.7.3","...fit/risk profile as depicted in Figure 2.2-1 (dose-response curve) presented in Section 2.7.3.  <!-- PageFooter=""PharmaCorp Inc. | NDA 123456 | CONFIDENTIAL"" --> <!-- PageNu...","RECOMMENDATION: Option 1  
REASON: The snippet references a benefit/risk profile and dose-response curve in a clinical summary context, which aligns with the Benefit/Risk Assessment section rather than nonclinical toxicity or manufacturing.","[{'option_number': 1, 'option_label': 'Option [1]', 'suggested_target_file': '2.5-clinical-overview.pdf', 'suggested_target_page': 4, 'semantic_title_context': '2.5.6 Benefit/Risk Assessment'}, {'option_number': 2, 'option_label': 'Option [2]', 'suggested_target_file': '4.2.3.2-repeat-dose-tox.pdf', 'suggested_target_page': 3, 'semantic_title_context': 'Section 4.2.3.2 Repeat-Dose Toxicity'}, {'option_number': 3, 'option_label': 'Option [3]', 'suggested_target_file': '3.2.S.2-manufacture.pdf', 'suggested_target_page': 1, 'semantic_title_context': 'Excerpt 1'}]","2.5-clinical-overview.pdf","4","ROUTED"
"8","2026-05-28 12:21:36","2.2-introduction.pdf","Section 5.3.4.2","...irmed the efficacy of nexivarin 10 mg. Primary efficacy results are detailed in Section 5.3.4.2; the integrated safety data are provided in Section 5.3.4.  The Phase III effic...","RECOMMENDATION: Option 3  
REASON: The snippet cites primary efficacy results in Section 5.3.4.2, which aligns with content in the Phase III study report file rather than the Module 2.5 overview.","[{'option_number': 1, 'option_label': 'Option [1]', 'suggested_target_file': '2.5-clinical-overview.pdf', 'suggested_target_page': 3, 'semantic_title_context': '2.5.4 Overview of Efficacy'}, {'option_number': 2, 'option_label': 'Option [2]', 'suggested_target_file': '2.5-clinical-overview.pdf', 'suggested_target_page': 3, 'semantic_title_context': 'Nexivarin 10 mg Tablets Section 2.5'}, {'option_number': 3, 'option_label': 'Option [3]', 'suggested_target_file': '5.3.4.2-phase3-study1.pdf', 'suggested_target_page': 4, 'semantic_title_context': ""Investigator's Conclusion""}]","5.3.4.2-phase3-study1.pdf","4","ROUTED"
"9","2026-05-28 12:27:11","2.4-nonclinical-overview.pdf","Sections 2.6.1","...through 4.2.3). The nonclinical written and tabulated summaries are provided in Sections 2.6.1 through 2.6.6 of this Module 2.  Refer to Section 4.1 (Module 4 Table of Conten...","RECOMMENDATION: 1  
REASON: The snippet discusses nonclinical summaries and points to related nonclinical content, making the “Overview of the Nonclinical Testing Strategy” the most semantically aligned destination among the options.","[{'option_number': 1, 'option_label': 'Option [1]', 'suggested_target_file': '2.4-nonclinical-overview.pdf', 'suggested_target_page': 3, 'semantic_title_context': '2.4.1 Overview of the Nonclinical Testing Strategy'}, {'option_number': 2, 'option_label': 'Option [2]', 'suggested_target_file': '2.4-nonclinical-overview.pdf', 'suggested_target_page': 3, 'semantic_title_context': 'Nexivarin 10 mg Tablets - eCTD Submission Module 2 - CTD Summaries'}, {'option_number': 3, 'option_label': 'Option [3]', 'suggested_target_file': '2.2-introduction.pdf', 'suggested_target_page': 1, 'semantic_title_context': 'Excerpt 1'}]","2.4-nonclinical-overview.pdf","3","ROUTED"
